filename,delete_batch_size,depth_of_graph,PR-RST module,simple BFS,Adam_BFS,CC,update datastr
ljournal-2008.egr,100,75,83.29,41.05,21.45,14.76,4.94
ljournal-2008.egr,100,75,82.68,41.22,21.42,11.51,4.95
ljournal-2008.egr,100,75,83.21,40.82,21.29,12.61,4.94
ljournal-2008.egr,100,75,82.1,41.14,21.75,12.88,3.89
ljournal-2008.egr,100,75,83.34,41.01,21.51,13.97,4.94
ljournal-2008.egr,1000,75,82.54,41.56,21.63,14.14,4.93
ljournal-2008.egr,1000,75,82.47,41.53,21.32,13.04,4.96
ljournal-2008.egr,1000,75,82.88,42.31,21.54,15.25,4.96
ljournal-2008.egr,1000,75,82.87,42.94,21.48,13.27,4.99
ljournal-2008.egr,1000,75,82.45,43.36,21.42,13.14,4.93
ljournal-2008.egr,10000,75,95.65,41.83,21.48,14.74,4.93
ljournal-2008.egr,10000,75,82.8,43.14,21.67,13.19,4.94
ljournal-2008.egr,10000,75,82.67,42.73,21.44,26.53,4.95
ljournal-2008.egr,10000,75,82.49,42.85,21.44,14.34,4.95
ljournal-2008.egr,10000,75,83.13,42.12,21.39,12.79,4.93
ljournal-2008.egr,100000,75,95.8,42.52,21.41,14.25,4.99
ljournal-2008.egr,100000,75,82.64,43.8,21.66,11.88,4.98
ljournal-2008.egr,100000,75,95.75,42.47,21.65,12.46,4.98
ljournal-2008.egr,100000,75,82.22,41.23,21.52,11.38,3.95
ljournal-2008.egr,100000,75,82.22,42.04,21.68,10.62,4.93
