filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,PR-RST module,CC,update datastr
road_usa.egr,100,6262,939.63,792.53,576.42,84.44,4.63
road_usa.egr,100,6262,937.18,796.25,639.27,81.91,4.63
road_usa.egr,100,6262,938.31,795.2,640.89,88.81,4.63
road_usa.egr,100,6262,941.05,798.52,575.99,85.18,4.62
road_usa.egr,100,6262,938.9,795.18,639.71,81.89,10.02
road_usa.egr,1000,6262,936.72,792.69,638.7,92.43,4.64
road_usa.egr,1000,6262,938.72,800.23,639.37,85.68,4.62
road_usa.egr,1000,6262,936.44,789.26,578.21,82.29,4.63
road_usa.egr,1000,6262,938.88,792.64,638.48,85.6,4.63
road_usa.egr,1000,6262,985.11,792.39,576.61,84.57,4.63
road_usa.egr,10000,6262,1035.34,805.24,576.46,84.91,4.63
road_usa.egr,10000,6262,940.18,793.0,577.68,84.03,4.63
road_usa.egr,10000,6262,947.88,792.51,577.11,82.22,4.63
road_usa.egr,10000,6262,938.95,792.19,640.63,82.03,4.67
road_usa.egr,10000,6262,938.74,798.61,637.58,92.38,5.74
road_usa.egr,100000,6288,943.95,802.22,579.22,88.79,4.65
road_usa.egr,100000,6270,1076.85,800.18,638.05,85.45,4.69
road_usa.egr,100000,6269,937.94,796.72,641.14,85.72,4.67
road_usa.egr,100000,6269,973.76,802.15,575.76,88.66,4.69
road_usa.egr,100000,6279,990.9,801.81,577.14,89.73,4.68
