filename,max_regular,min_my
GAP-road,8476,5439
arabic-2005,7987,4372
as-Skitter,881,572
coPapersCiteseer,346,271
coPapersDBLP,543,377
com-Orkut,1487,1601
delaunay_n24,58948,4068
eu-2005,721,383
europe_osm,17647,11346
germany_osm,3204,2466
higgs-twitter,375,366
hollywood-2009,722,527
hugebubbles-00020,7550,13286
in-2004,552,641
indochina-2004,2764,1578
kmer_A2a,58075,89589
kmer_P1a,46852,80569
kmer_U1a,24664,40118
kmer_V1r,72142,73685
kmer_V2a,18874,32112
kron_g500-logn18,322,284
kron_g500-logn19,396,370
kron_g500-logn20,713,650
kron_g500-logn21,1124,1249
ljournal-2008,2505,1946
rgg_n_2_23_s0,3471,2294
rgg_n_2_24_s0,7865,4631
road_usa,8406,5878
soc-LiveJournal1,2325,1959
sx-stackoverflow,1319,1611
uk-2002,6883,3529
uk-2005,13972,7069
web-BerkStan,392,326
wiki-topcats,933,801
GAP-kron,0,inf
GAP-twitter,19488,76759
