filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,Pointer Jumping,PR-RST module,Path Reversal,Hash Table look up,Update rep array
indochina-2004.egr,414,7414866,301970226,100000,72.9917,42.46,23.48,4.71,1.51,0.69,0.1,0.02,0.02
indochina-2004.egr,461,7414866,301970226,100000,61.1846,37.13,18.76,3.27,1.27,0.64,0.08,0.02,0.02
indochina-2004.egr,435,7414866,301970226,100000,71.0874,41.87,22.95,3.95,1.49,0.69,0.09,0.02,0.02
indochina-2004.egr,442,7414866,301970226,100000,70.657,41.54,22.93,3.88,1.48,0.7,0.1,0.02,0.02
indochina-2004.egr,419,7414866,301970226,100000,52.4256,33.51,14.45,2.71,1.08,0.58,0.07,0.02,0.01
indochina-2004.egr,46,7414866,301970226,10000,57.6527,34.9,17.87,3.04,1.24,0.5,0.08,0.02,0.02
indochina-2004.egr,38,7414866,301970226,10000,68.0767,39.65,22.57,3.71,1.49,0.54,0.09,0.02,0.02
indochina-2004.egr,52,7414866,301970226,10000,51.29,32.68,14.36,2.61,1.08,0.46,0.07,0.01,0.01
indochina-2004.egr,34,7414866,301970226,10000,67.7686,39.52,22.43,3.69,1.48,0.53,0.09,0.02,0.02
indochina-2004.egr,41,7414866,301970226,10000,51.5199,32.69,14.63,2.56,1.08,0.46,0.07,0.01,0.01
indochina-2004.egr,0,7414866,301970226,100,52.168,31.16,17.3,2.61,1.07,,,,0.01
indochina-2004.egr,0,7414866,301970226,100,62.4929,34.97,22.3,3.73,1.48,,,,0.02
indochina-2004.egr,1,7414866,301970226,100,49.9827,31.78,14.21,2.56,1.08,0.26,0.07,0.01,0.01
indochina-2004.egr,1,7414866,301970226,100,66.9241,37.25,23.14,4.62,1.51,0.29,0.09,0.02,0.02
indochina-2004.egr,1,7414866,301970226,100,64.8861,35.54,23.64,3.77,1.5,0.29,0.09,0.03,0.02
indochina-2004.egr,6,7414866,301970226,1000,66.4804,37.35,23.34,3.76,1.51,0.39,0.09,0.02,0.02
indochina-2004.egr,4,7414866,301970226,1000,66.6421,37.33,23.41,3.81,1.5,0.44,0.11,0.02,0.02
indochina-2004.egr,5,7414866,301970226,1000,68.4485,39.33,23.33,3.77,1.51,0.38,0.09,0.02,0.02
indochina-2004.egr,2,7414866,301970226,1000,66.9651,37.16,24.01,3.82,1.51,0.33,0.1,0.02,0.02
indochina-2004.egr,3,7414866,301970226,1000,65.5427,35.77,23.94,3.92,1.51,0.3,0.08,0.01,0.02
