filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,PR-RST module,update data structure,Path Reversal,Update rep array,Hash Table look up
kmer_U1a.egr,60399,67716231,138866824,100000,220.314,159.77,32.53,21.75,2.92,2.02,1.27,0.03,0.02
kmer_U1a.egr,60753,67716231,138866824,100000,201.637,153.66,23.27,17.67,3.59,2.13,1.28,0.02,0.02
kmer_U1a.egr,60592,67716231,138866824,100000,191.115,140.72,24.39,19.42,3.12,2.05,1.38,0.02,0.02
kmer_U1a.egr,60883,67716231,138866824,100000,190.485,141.08,24.4,18.52,3.05,2.02,1.37,0.02,0.02
kmer_U1a.egr,60574,67716231,138866824,100000,199.195,151.25,23.25,17.73,3.59,2.05,1.28,0.02,0.02
kmer_U1a.egr,6056,67716231,138866824,10000,189.109,143.63,22.46,18.28,1.94,1.97,0.8,0.02,0.02
kmer_U1a.egr,6072,67716231,138866824,10000,191.868,147.4,21.93,17.95,1.9,1.92,0.74,0.02,0.02
kmer_U1a.egr,5992,67716231,138866824,10000,197.249,145.67,25.97,20.51,2.18,1.97,0.92,0.02,0.02
kmer_U1a.egr,6082,67716231,138866824,10000,190.021,145.56,21.97,17.79,1.98,1.96,0.73,0.02,0.02
kmer_U1a.egr,6056,67716231,138866824,10000,200.607,149.05,26.34,20.55,1.64,2.01,0.98,0.03,0.02
kmer_U1a.egr,64,67716231,138866824,100,184.651,143.16,21.18,17.29,0.49,2.11,0.39,0.01,0.01
kmer_U1a.egr,64,67716231,138866824,100,197.319,155.35,21.19,17.74,0.49,2.13,0.39,0.02,0.01
kmer_U1a.egr,60,67716231,138866824,100,186.226,142.39,22.88,18.03,0.48,1.98,0.44,0.02,0.02
kmer_U1a.egr,64,67716231,138866824,100,196.291,154.88,21.18,17.33,0.5,1.97,0.39,0.02,0.02
kmer_U1a.egr,57,67716231,138866824,100,212.136,159.15,29.09,20.83,0.56,1.91,0.56,0.02,0.02
kmer_U1a.egr,603,67716231,138866824,1000,194.501,152.25,21.36,17.37,1.06,1.92,0.5,0.02,0.02
kmer_U1a.egr,611,67716231,138866824,1000,200.21,158.31,21.38,17.39,0.69,1.97,0.44,0.02,0.02
kmer_U1a.egr,594,67716231,138866824,1000,208.727,159.04,29.25,17.35,0.62,2.01,0.43,0.02,0.02
kmer_U1a.egr,619,67716231,138866824,1000,183.987,141.64,21.55,17.53,0.65,2.11,0.47,0.02,0.02
kmer_U1a.egr,595,67716231,138866824,1000,217.007,162.42,29.27,21.88,0.8,1.95,0.65,0.02,0.02
