filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
wiki-topcats.egr,3558,1791489,50888414,100000,15.5397,6.98,6.66,0.76,0.74,0.33,0.04,0.01,0.01
wiki-topcats.egr,3478,1791489,50888414,100000,15.8638,6.96,6.96,0.78,0.75,0.33,0.04,0.02,0.01
wiki-topcats.egr,3686,1791489,50888414,100000,15.8425,7.26,6.68,0.75,0.76,0.32,0.04,0.01,0.01
wiki-topcats.egr,3647,1791489,50888414,100000,24.6196,15.14,7.01,0.76,1.3,0.34,0.05,0.02,0.01
wiki-topcats.egr,3540,1791489,50888414,100000,15.5321,6.93,6.71,0.75,0.75,0.32,0.04,0.01,0.01
wiki-topcats.egr,330,1791489,50888414,10000,15.5544,6.96,6.95,0.71,0.57,0.31,0.04,0.01,0.01
wiki-topcats.egr,348,1791489,50888414,10000,15.7458,6.95,7.12,0.72,0.56,0.33,0.04,0.01,0.01
wiki-topcats.egr,363,1791489,50888414,10000,15.3414,6.9,6.74,0.73,0.58,0.32,0.04,0.01,0.01
wiki-topcats.egr,394,1791489,50888414,10000,15.1884,6.89,6.64,0.71,0.57,0.32,0.04,0.01,0.01
wiki-topcats.egr,365,1791489,50888414,10000,15.2817,6.9,6.73,0.72,0.57,0.31,0.04,0.01,0.01
wiki-topcats.egr,3,1791489,50888414,100,14.7402,6.71,6.68,0.71,0.28,0.31,0.04,0.01,0.01
wiki-topcats.egr,3,1791489,50888414,100,14.5251,6.58,6.6,0.69,0.28,0.31,0.04,0.01,0.01
wiki-topcats.egr,1,1791489,50888414,100,14.5492,6.58,6.67,0.69,0.24,0.31,0.04,0.01,0.01
wiki-topcats.egr,8,1791489,50888414,100,15.2747,6.67,7.14,0.72,0.36,0.32,0.04,0.01,0.01
wiki-topcats.egr,6,1791489,50888414,100,15.0906,6.58,7.11,0.72,0.31,0.32,0.04,0.01,0.01
wiki-topcats.egr,51,1791489,50888414,1000,15.6062,6.81,7.27,0.71,0.44,0.32,0.04,0.01,0.01
wiki-topcats.egr,27,1791489,50888414,1000,14.8599,6.58,6.8,0.7,0.41,0.31,0.04,0.01,0.01
wiki-topcats.egr,32,1791489,50888414,1000,15.0312,6.78,6.75,0.7,0.44,0.31,0.04,0.01,0.01
wiki-topcats.egr,29,1791489,50888414,1000,15.4749,6.8,7.19,0.71,0.4,0.31,0.04,0.01,0.01
wiki-topcats.egr,34,1791489,50888414,1000,14.8932,6.76,6.6,0.73,0.43,0.32,0.04,0.01,0.01
