filename,num_comps,numVertices,numEdges,batch_size,total_time
kron_g500-logn20.egr,927,1048576,89745562,100000,17.7315
kron_g500-logn20.egr,878,1048576,89745562,100000,17.3503
kron_g500-logn20.egr,783,1048576,89745562,100000,16.4532
kron_g500-logn20.egr,844,1048576,89745562,100000,17.3533
kron_g500-logn20.egr,973,1048576,89745562,100000,17.1973
kron_g500-logn20.egr,103,1048576,89745562,10000,15.8835
kron_g500-logn20.egr,82,1048576,89745562,10000,15.9502
kron_g500-logn20.egr,111,1048576,89745562,10000,16.1731
kron_g500-logn20.egr,107,1048576,89745562,10000,16.1301
kron_g500-logn20.egr,98,1048576,89745562,10000,15.8888
kron_g500-logn20.egr,1,1048576,89745562,100,12.2695
kron_g500-logn20.egr,1,1048576,89745562,100,12.3136
kron_g500-logn20.egr,1,1048576,89745562,100,12.3451
kron_g500-logn20.egr,2,1048576,89745562,100,14.8581
kron_g500-logn20.egr,1,1048576,89745562,100,12.2824
kron_g500-logn20.egr,4,1048576,89745562,1000,14.9107
kron_g500-logn20.egr,9,1048576,89745562,1000,15.3551
kron_g500-logn20.egr,10,1048576,89745562,1000,15.3688
kron_g500-logn20.egr,5,1048576,89745562,1000,15.0114
kron_g500-logn20.egr,5,1048576,89745562,1000,15.0597
